x,y
3604,1166
3603,1165
3602,1164
3601,1163
3601,1162
3600,1161
3599,1160
3598,1159
3597,1158
3596,1157
3595,1156
3594,1155
3594,1154
3593,1153
3592,1152
3591,1151
3590,1150
3589,1149
3588,1148
3587,1147
3586,1146
3585,1145
3584,1144
3583,1143
3582,1142
3581,1141
3580,1140
3579,1139
3578,1138
3577,1136
3576,1135
3575,1134
3574,1133
3573,1132
3572,1131
3571,1130
3570,1129
3569,1128
3568,1127
3567,1126
3566,1125
3565,1124
3564,1123
3563,1121
3562,1120
3561,1119
3559,1118
3558,1117
3557,1116
3556,1115
3555,1114
3554,1113
3553,1112
3552,1110
3550,1109
3549,1108
3548,1107
3547,1106
3546,1105
3545,1104
3543,1103
3542,1102
3541,1100
3540,1099
3539,1098
3537,1097
3536,1096
3535,1095
3534,1094
3533,1093
3531,1091
3530,1090
3529,1089
3528,1088
3526,1087
3525,1086
3524,1085
3522,1083
3521,1082
3520,1081
3519,1080
3517,1079
3516,1078
3515,1077
3513,1075
3512,1074
3511,1073
3509,1072
3508,1071
3507,1070
3505,1069
3504,1067
3503,1066
3501,1065
3500,1064
3499,1063
3497,1062
3496,1060
3495,1059
3493,1058
3492,1057
3490,1056
3489,1055
3488,1053
3486,1052
3485,1051
3483,1050
3482,1049
3480,1048
3479,1046
3478,1045
3476,1044
3475,1043
3473,1042
3472,1041
3470,1039
3469,1038
3467,1037
3466,1036
3465,1035
3463,1034
3462,1032
3460,1031
3459,1030
3457,1029
3456,1028
3454,1026
3453,1025
3451,1024
3450,1023
3448,1022
3447,1021
3445,1019
3444,1018
3442,1017
3440,1016
3439,1015
3437,1014
3436,1012
3434,1011
3433,1010
3431,1009
3430,1008
3428,1007
3427,1005
3425,1004
3423,1003
3422,1002
3420,1001
3419,999
3417,998
3415,997
3414,996
3412,995
3411,994
3409,992
3407,991
3406,990
3404,989
3403,988
3401,987
3399,985
3398,984
3396,983
3394,982
3393,981
3391,980
3390,978
3388,977
3386,976
3385,975
3383,974
3381,973
3380,971
3378,970
3376,969
3375,968
3373,967
3371,966
3370,965
3368,963
3366,962
3365,961
3363,960
3361,959
3360,958
3358,957
3356,955
3354,954
3353,953
3351,952
3349,951
3348,950
3346,949
3344,947
3342,946
3341,945
3339,944
3337,943
3336,942
3334,941
3332,940
3330,938
3329,937
3327,936
3325,935
3323,934
3322,933
3320,932
3318,931
3316,930
3315,928
3313,927
3311,926
3309,925
3308,924
3306,923
3304,922
3302,921
3301,920
3299,919
3297,917
3295,916
3294,915
3292,914
3290,913
3288,912
3287,911
3285,910
3283,909
3281,908
3279,907
3278,906
3276,905
3274,904
3272,902
3270,901
3269,900
3267,899
3265,898
3263,897
3261,896
3260,895
3258,894
3256,893
3254,892
3252,891
3251,890
3249,889
3247,888
3245,887
3243,886
3242,885
3240,884
3238,883
3236,882
3234,881
3233,880
3231,879
3229,878
3227,877
3225,876
3224,875
3222,874
3220,873
3218,872
3216,871
3214,870
3213,869
3211,868
3209,867
3207,866
3205,865
3204,864
3202,863
3200,862
3198,861
3196,860
3194,859
3193,858
3191,858
3189,857
3187,856
3185,855
3183,854
3182,853
3180,852
3178,851
3176,850
3174,849
3172,848
3171,848
3169,847
3167,846
3165,845
3163,844
3162,843
3160,842
3158,841
3156,840
3154,840
3152,839
3151,838
3149,837
3147,836
3145,835
3143,834
3141,834
3140,833
3138,832
3136,831
3134,830
3132,829
3131,829
3129,828
3127,827
3125,826
3123,825
3121,825
3120,824
3118,823
3116,822
3114,821
3112,820
3111,820
3109,819
3107,818
3105,817
3103,816
3101,816
3100,815
3098,814
3096,813
3094,813
3092,812
3091,811
3089,810
3087,810
3085,809
3083,808
3082,807
3080,806
3078,806
3076,805
3074,804
3073,803
3071,803
3069,802
3067,801
3066,800
3064,800
3062,799
3060,798
3058,798
3057,797
3055,796
