x,y
1656,4134
1518,3936
1452,3804
1314,3828
1266,3750
1368,3696
1344,3498
1404,3384
1386,3150
1320,3036
1314,2892
1440,2616
1530,2274
1536,2088
1488,1986
1416,1944
1344,1848
1356,1740
1374,1662
1398,1566
1452,1548
1464,1518
1554,1482
1524,1398
1548,1368
1632,1416
1596,1362
1632,1284
1794,1260
1896,1116
1914,1044
1884,1032
2010,948
2040,1014
2178,984
2286,870
2262,1014
2334,1128
2466,1146
2556,1236
2658,1176
2808,1152
2850,1152
2934,1098
2940,1056
3024,1074
3054,1056
2868,936
2724,852
2292,798
1878,900
1596,972
1488,1014
1356,1122
1152,1278
1086,1410
1020,1440
924,1602
840,1716
786,1890
720,2028
702,2094
648,2190
672,2280
858,2418
1008,2562
1128,2736
1212,2868
1230,2982
1230,3138
1260,3336
1230,3474
1248,3636
1152,3756
1146,3822
1206,3858
1356,4014
1434,4092
1566,4128
