x,y
3216,984
2982,1056
3060,1242
3270,1140
3402,1104
3618,1404
3732,1848
3810,2322
3654,2748
3516,3078
3408,3270
3150,3498
2994,3666
2850,3804
2622,3876
2382,3972
2340,3882
2268,3936
2046,3978
1860,3978
1728,3930
1650,3870
1446,3822
1104,3660
1038,3618
900,3384
702,3126
564,2820
456,2568
432,2490
378,2286
474,2250
666,2268
834,2358
906,2256
1110,2118
1260,2088
1302,2022
1284,1920
1284,1944
1284,1902
1272,1896
1266,1878
1302,1872
1332,1866
1368,1860
1428,1860
1500,1860
1686,1848
1752,1830
1752,1740
1596,1554
1566,1398
1596,1314
1794,1206
1848,1164
1884,1008
1950,924
1950,750
1980,630
2214,600
2334,534
2760,618
3036,792
3150,900
