x,y
902,311
903,313
903,315
904,317
904,318
904,320
904,322
904,323
903,325
903,327
902,328
902,330
901,331
900,333
899,334
898,336
897,337
896,338
894,339
893,340
891,341
890,342
888,342
887,343
885,343
883,344
881,344
879,344
877,344
875,344
873,343
871,343
869,343
867,342
865,342
863,341
860,340
858,339
856,338
854,337
852,336
849,335
847,334
845,333
843,332
840,330
838,329
836,328
834,326
832,325
829,323
827,322
825,321
823,319
821,317
819,316
817,314
816,313
814,311
812,310
810,308
809,307
807,305
805,303
804,302
802,300
801,299
799,297
798,296
797,294
795,292
794,291
793,289
791,288
790,286
789,284
787,283
786,281
785,280
784,278
782,277
781,275
780,274
779,272
778,271
776,269
775,267
774,266
773,265
772,263
770,262
769,260
768,259
767,257
765,256
764,255
763,253
761,252
760,251
759,249
757,248
756,247
754,246
753,245
751,244
749,243
747,242
746,241
744,240
742,239
740,239
738,238
736,237
733,237
731,236
729,236
726,235
724,235
721,234
719,234
716,234
714,234
711,233
708,233
706,233
703,233
700,233
697,233
694,233
692,232
689,232
686,232
684,232
681,232
678,232
676,231
673,231
671,231
668,230
666,230
664,230
662,229
659,229
657,228
655,227
654,227
652,226
650,225
649,224
647,223
646,222
645,221
644,219
643,218
642,217
642,215
641,214
641,212
640,210
640,209
640,207
640,206
640,204
641,202
641,201
641,199
642,197
643,196
644,194
645,193
646,191
647,190
648,188
649,187
651,185
652,184
654,183
655,182
657,181
659,179
661,178
663,177
665,177
667,176
669,175
671,174
673,173
675,173
677,172
679,172
681,171
684,171
686,171
688,170
690,170
692,170
694,170
696,170
698,170
700,170
702,171
704,171
706,171
707,172
709,172
711,173
713,173
714,174
716,175
717,176
719,177
721,177
722,178
724,179
726,180
727,181
729,183
731,184
732,185
734,186
736,187
738,189
740,190
742,191
744,192
746,194
748,195
750,197
753,198
755,199
757,201
760,202
763,204
765,205
768,206
771,208
774,209
777,210
780,212
783,213
786,215
789,216
792,217
795,218
798,220
800,221
803,222
806,223
809,224
811,225
814,226
817,227
819,228
821,229
824,230
826,231
828,231
829,232
831,232
833,233
834,233
835,234
836,234
837,234
837,234
838,234
838,234
838,234
838,234
837,234
837,233
836,233
835,233
834,232
833,231
831,230
830,230
828,229
826,228
825,226
823,225
821,224
819,223
817,221
814,220
812,218
810,217
808,215
806,213
803,211
801,209
799,207
797,205
795,203
793,200
791,198
789,196
787,193
785,191
784,188
782,185
781,182
779,180
778,177
776,174
775,171
773,168
772,165
771,162
770,159
769,156
