x,y
570,837
570,835
571,833
571,831
572,829
573,827
573,826
574,824
575,822
576,820
576,818
577,816
578,814
579,812
580,811
581,809
582,807
584,805
585,803
586,801
587,799
588,797
590,795
591,793
592,791
594,789
595,787
597,785
598,783
600,780
601,778
603,776
604,774
606,772
608,770
609,767
611,765
613,763
614,761
616,758
618,756
620,754
621,751
623,749
625,747
627,744
629,742
630,739
632,737
634,734
636,731
638,729
640,726
641,724
643,721
645,718
647,715
649,713
651,710
653,707
654,704
656,701
658,698
660,695
662,692
664,689
666,686
667,683
669,680
671,677
673,673
675,670
676,667
678,663
680,660
682,657
683,653
685,650
687,646
689,643
690,639
692,636
694,632
696,629
697,625
699,622
701,618
703,614
704,611
706,607
708,603
709,600
711,596
713,592
715,589
716,585
718,581
720,577
721,574
723,570
725,566
726,563
728,559
730,555
732,551
733,548
735,544
737,540
738,536
740,533
742,529
744,525
745,521
747,518
749,514
751,510
752,507
754,503
756,499
758,496
759,492
761,488
763,485
765,481
766,478
768,474
770,471
772,467
774,464
775,460
777,457
779,454
781,450
783,447
785,444
786,440
788,437
790,434
792,431
794,428
796,425
798,422
800,419
802,416
804,413
806,410
808,407
810,404
812,401
814,399
816,396
818,393
820,391
822,388
824,386
826,383
828,381
830,378
832,376
835,374
837,372
839,370
841,368
843,366
845,364
848,362
850,360
852,358
854,356
856,354
859,352
861,351
863,349
865,347
867,346
870,344
872,343
874,341
876,340
878,338
880,337
882,335
884,334
886,332
888,331
890,330
892,328
894,327
896,325
898,324
900,323
901,321
903,320
905,319
906,317
908,316
910,315
911,313
913,312
914,311
915,309
917,308
918,307
919,305
920,304
921,302
922,301
923,299
924,298
925,297
926,295
926,293
927,292
928,290
928,289
928,287
929,285
929,283
929,282
929,280
929,278
929,276
929,274
929,273
929,271
929,269
928,267
928,265
927,263
927,261
926,259
926,257
925,255
924,253
923,250
923,248
922,246
921,244
920,242
919,240
918,238
917,236
915,233
914,231
913,229
912,227
911,225
909,223
908,220
907,218
905,216
904,214
902,212
901,210
899,208
898,206
896,203
895,201
893,199
891,197
890,195
888,193
887,191
885,189
883,187
882,185
880,183
878,181
877,179
875,177
873,175
871,174
870,172
868,170
866,168
865,166
863,165
861,163
860,161
858,159
856,158
854,156
853,154
851,153
849,151
848,150
846,148
844,146
842,145
841,143
839,142
837,140
836,139
834,137
832,136
831,134
829,133
827,131
825,130
824,128
822,127
820,125
819,124
817,123
815,121
814,120
812,118
810,117
809,116
807,114
805,113
804,111
802,110
800,109
799,107
797,106
796,105
794,103
792,102
791,100
789,99
788,98
786,96
784,95
783,94
781,92
780,91
778,89
777,88
775,87
774,85
772,84
770,82
769,81
767,80
766,78
764,77
763,75
761,74
760,73
758,71
757,70
755,69
754,67
752,66
751,65
749,63
748,62
746,61
745,59
743,58
741,57
740,56
738,55
737,53
735,52
734,51
732,50
730,49
729,48
727,47
726,46
724,45
722,44
721,43
719,42
717,41
716,40
714,39
712,38
710,38
709,37
707,36
705,35
703,35
702,34
700,33
698,33
696,32
694,32
692,31
690,31
689,30
687,30
685,29
683,29
681,29
679,28
677,28
675,28
673,27
671,27
669,27
667,26
665,26
663,26
661,26
659,25
657,25
655,25
653,25
651,25
648,24
646,24
644,24
642,24
640,24
638,23
636,23
634,23
632,23
629,23
627,23
625,22
623,22
621,22
619,22
616,22
614,21
612,21
610,21
608,21
606,20
604,20
601,20
599,19
597,19
595,19
593,18
591,18
588,18
586,17
584,17
582,17
580,16
578,16
575,16
573,15
571,15
569,14
567,14
565,14
563,13
560,13
558,12
556,12
554,11
552,11
550,11
548,10
546,10
544,9
542,9
540,9
538,8
536,8
534,8
532,7
530,7
528,6
526,6
524,6
522,5
520,5
518,5
516,4
514,4
512,4
510,3
509,3
507,3
505,3
503,2
501,2
500,2
498,2
496,2
