x,y
1220,1411
1221,1411
1222,1410
1224,1410
1225,1409
1227,1409
1228,1408
1230,1408
1231,1407
1233,1407
1234,1407
1236,1406
1237,1406
1239,1405
1241,1405
1242,1405
1244,1404
1246,1404
1247,1404
1249,1403
1251,1403
1252,1403
1254,1403
1255,1402
1257,1402
1259,1402
1260,1401
1262,1401
1263,1401
1265,1400
1266,1400
1268,1399
1269,1399
1270,1399
1272,1398
1273,1398
1274,1397
1276,1397
1277,1396
1278,1396
1279,1395
1280,1395
1281,1394
1282,1393
1283,1393
1283,1392
1284,1391
1285,1390
1285,1389
1286,1389
1286,1388
1286,1387
1287,1386
1287,1385
1287,1384
1287,1383
1288,1382
1288,1380
1288,1379
1288,1378
1288,1377
1288,1376
1288,1374
1287,1373
1287,1372
1287,1371
1287,1369
1287,1368
1287,1366
1286,1365
1286,1364
1286,1362
1286,1361
1286,1359
1285,1358
1285,1356
1285,1355
1285,1353
1285,1351
1285,1350
1285,1348
1285,1346
1284,1345
1284,1343
1284,1341
1285,1340
1285,1338
1285,1336
1285,1335
1285,1333
1285,1331
1286,1329
1286,1328
1287,1326
1287,1324
1288,1322
1288,1321
1289,1319
1289,1317
1290,1315
1291,1313
1291,1311
1292,1310
1293,1308
1294,1306
1295,1304
1295,1302
1296,1300
1297,1298
1298,1296
1299,1294
1300,1293
1301,1291
1302,1289
1304,1287
1305,1285
1306,1283
1307,1281
1308,1279
1309,1277
1311,1275
1312,1273
1313,1271
1314,1269
1316,1267
1317,1265
1318,1263
1320,1261
1321,1258
1322,1256
1324,1254
1325,1252
1326,1250
1328,1248
1329,1246
1331,1244
1332,1242
1333,1240
1335,1237
1336,1235
1338,1233
1339,1231
1340,1229
1342,1227
1343,1224
1345,1222
1346,1220
1347,1218
1349,1216
1350,1213
1351,1211
1353,1209
1354,1207
1355,1205
1357,1202
1358,1200
1359,1198
1361,1196
1362,1193
1363,1191
1364,1189
1365,1186
1367,1184
1368,1182
1369,1180
1370,1177
1371,1175
1372,1173
1373,1170
1374,1168
1375,1166
1376,1163
1377,1161
1378,1159
1379,1157
1380,1154
1381,1152
1381,1150
1382,1147
1383,1145
1384,1143
1384,1141
1385,1139
1386,1136
1386,1134
1387,1132
1387,1130
1388,1128
1388,1125
1389,1123
1389,1121
1390,1119
1390,1117
1390,1115
1391,1113
1391,1111
1391,1109
1391,1107
1392,1105
1392,1103
1392,1101
1392,1099
1392,1098
1392,1096
1392,1094
1392,1092
1392,1090
1391,1089
1391,1087
1391,1085
1391,1084
1390,1082
1390,1081
1390,1079
1389,1078
1389,1076
1388,1075
1387,1073
1387,1072
1386,1071
1385,1070
1385,1068
1384,1067
1383,1066
1382,1065
1381,1064
1380,1063
1379,1062
1378,1061
1377,1060
1376,1059
1375,1058
1373,1058
1372,1057
1371,1056
1370,1055
1368,1055
1367,1054
1366,1053
1364,1052
1363,1052
1361,1051
1360,1051
1358,1050
1357,1049
1356,1049
1354,1048
1352,1048
1351,1047
1349,1046
1348,1046
1346,1045
1345,1045
1343,1044
1342,1043
1340,1043
1339,1042
1337,1041
1336,1041
1334,1040
1332,1039
1331,1039
1329,1038
1328,1037
1327,1036
1325,1036
1324,1035
1322,1034
1321,1033
1319,1032
1318,1031
1317,1030
1316,1029
1314,1028
1313,1027
1312,1026
1311,1025
1309,1024
1308,1022
1307,1021
1306,1020
1305,1019
1304,1017
1303,1016
1303,1015
1302,1014
1301,1012
1300,1011
1300,1010
1299,1008
1298,1007
1298,1006
1297,1004
1297,1003
1297,1002
1296,1001
1296,1000
1296,998
1296,997
1296,996
1296,995
1296,994
1296,993
1297,992
1297,991
1297,990
1298,989
1298,988
1299,987
1300,986
1300,986
1301,985
1302,984
1303,984
1304,983
1306,983
1307,982
1308,982
1309,982
1311,981
1312,981
1314,981
1315,980
1317,980
1319,980
1320,980
1322,979
1324,979
1326,979
1327,979
1329,979
1331,978
1333,978
1335,978
1337,978
1339,978
1341,977
1343,977
1344,977
1346,977
1348,977
1350,976
1352,976
1354,976
1356,975
1358,975
1359,974
1361,974
1363,973
1365,973
1366,972
1368,972
1370,971
1371,970
1373,969
1374,969
1376,968
1377,967
1378,966
1380,965
1381,964
1382,962
1383,961
1384,960
1385,958
1386,957
1386,955
1387,954
1388,952
1388,950
1389,948
1389,947
1390,945
1390,943
1390,941
1390,939
1391,937
1391,935
1391,933
1391,930
1391,928
1391,926
1391,924
1390,922
1390,919
1390,917
1390,915
1389,912
1389,910
1389,908
1388,905
1388,903
1387,901
1387,898
1386,896
1385,894
1385,891
1384,889
1383,887
1383,884
1382,882
1381,880
1381,878
1380,875
1379,873
1378,871
1377,869
1377,867
1376,865
1375,863
1374,861
1373,859
1372,857
1371,855
1370,853
1369,852
1369,850
1368,848
1367,847
1366,845
1365,844
1364,842
1363,841
1362,840
1361,839
1361,838
1360,837
1359,836
1358,835
1357,834
1356,833
1356,832
1355,832
1354,831
1353,830
1353,830
1352,829
1351,829
1350,828
1349,828
1349,827
1348,827
1347,826
1346,826
1346,825
1345,825
1344,824
1343,824
1343,823
1342,823
1341,822
1340,821
1340,821
1339,820
1338,819
1337,819
1337,818
1336,817
1335,816
1334,815
1333,814
1333,813
1332,812
1331,810
1330,809
1329,808
1329,807
1328,805
1327,804
1326,802
1325,801
1324,799
1324,798
1323,796
1322,795
1321,793
1320,791
1319,790
1318,788
1317,786
1316,784
1315,782
1315,781
1314,779
1313,777
1312,775
1311,773
1310,771
1309,769
1308,767
1307,765
1306,763
1305,761
1304,759
1303,757
1301,755
1300,753
1299,751
1298,749
1297,747
1296,745
1295,743
1294,741
1292,739
1291,737
1290,735
1289,732
1288,730
1286,728
1285,726
1284,724
1283,722
1281,720
1280,719
1279,717
1277,715
1276,713
1275,711
1273,709
1272,707
1270,705
1269,703
1268,702
1266,700
1265,698
1263,696
1262,695
1260,693
1258,691
1257,690
1255,688
1254,687
1252,685
1250,684
1249,682
1247,680
1246,679
1244,677
1242,676
1240,675
1239,673
1237,672
1235,670
1234,669
1232,668
1230,666
1228,665
1226,664
1225,662
1223,661
1221,660
1219,659
1217,657
1215,656
1214,655
1212,654
1210,653
1208,651
1206,650
1204,649
1202,648
1200,647
1198,646
1196,645
1194,643
1192,642
1190,641
1188,640
1186,639
1184,638
1182,637
1180,636
1178,635
1176,634
1174,633
1172,632
1170,631
1168,630
1166,629
1164,628
1162,627
1160,626
1158,625
1156,624
1154,624
1152,623
1150,622
1147,621
1145,620
1143,619
1141,618
1139,617
1137,616
1135,615
1133,614
1131,614
1128,613
1126,612
1124,611
1122,610
1120,609
1118,608
1116,607
1114,607
1111,606
1109,605
1107,604
1105,603
1103,602
1101,602
1099,601
1096,600
1094,599
1092,598
1090,598
1088,597
1086,596
1083,595
1081,594
1079,594
1077,593
1075,592
1073,591
1071,591
1068,590
1066,589
1064,589
1062,588
1060,587
1058,587
1055,586
1053,585
1051,585
1049,584
1047,583
1045,583
1043,582
1040,581
1038,581
1036,580
1034,580
1032,579
1030,578
1027,578
1025,577
1023,577
1021,576
1019,576
1017,575
1015,575
1012,574
1010,574
1008,573
1006,573
1004,572
1002,572
1000,571
998,571
995,571
993,570
991,570
989,570
987,569
985,569
983,568
981,568
978,568
976,568
974,567
972,567
970,567
968,566
966,566
964,566
962,566
960,566
958,565
956,565
954,565
951,565
949,565
947,565
945,564
943,564
941,564
939,564
937,564
935,564
933,564
931,564
929,564
927,564
925,564
923,564
921,564
919,564
917,564
915,564
913,564
911,564
909,565
907,565
905,565
904,565
902,565
900,565
898,565
896,566
894,566
892,566
890,566
888,567
886,567
885,567
883,568
881,568
879,568
877,569
875,569
873,569
872,570
870,570
868,570
866,571
864,571
863,572
861,572
859,573
857,573
855,574
854,574
852,575
850,575
849,576
847,576
845,577
843,577
842,578
840,579
838,579
837,580
835,580
833,581
832,582
830,582
829,583
827,583
825,584
824,585
822,585
821,586
819,586
818,587
816,588
815,588
813,589
812,590
810,590
809,591
807,591
806,592
805,593
803,593
802,594
801,594
799,595
798,595
797,596
795,597
794,597
793,598
791,598
790,599
789,599
788,600
787,600
785,601
784,601
783,602
782,602
781,602
780,603
779,603
777,604
776,604
775,604
774,605
773,605
772,606
771,606
770,606
769,607
768,607
767,608
765,608
764,608
763,609
762,609
761,610
760,610
759,610
757,611
756,611
755,611
754,612
753,612
751,613
750,613
749,614
748,614
746,614
745,615
744,615
742,616
741,616
739,617
738,617
736,618
735,618
733,619
732,619
730,620
729,620
727,621
725,622
724,622
722,623
721,623
719,624
717,625
715,625
714,626
712,627
710,627
708,628
707,629
705,629
703,630
701,631
699,632
698,633
696,633
694,634
692,635
690,636
688,637
687,638
685,638
683,639
681,640
679,641
677,642
675,643
673,644
671,645
669,646
667,647
666,648
664,649
662,650
660,651
658,652
656,654
654,655
652,656
650,657
648,658
647,660
645,661
643,662
641,663
639,665
637,666
635,667
633,669
632,670
630,672
628,673
626,674
624,676
623,677
621,679
619,680
617,682
615,683
614,685
612,687
610,688
608,690
607,692
605,693
603,695
602,697
600,698
598,700
597,702
595,704
593,705
592,707
590,709
588,711
587,713
585,715
584,716
582,718
580,720
579,722
577,724
576,726
574,728
573,730
571,732
570,734
568,736
567,738
565,740
564,742
562,744
561,746
560,749
558,751
557,753
555,755
554,757
553,759
551,761
550,764
549,766
547,768
546,770
545,773
543,775
542,777
541,779
539,782
538,784
537,786
536,788
535,791
533,793
