x,y
1249,499
1251,501
1252,502
1254,504
1256,506
1257,508
1259,509
1260,511
1262,513
1263,515
1265,517
1267,518
1268,520
1270,522
1272,524
1273,526
1275,528
1277,530
1278,533
1280,535
1282,537
1284,539
1285,541
1287,543
1289,546
1290,548
1292,550
1294,553
1296,555
1297,557
1299,560
1301,562
1303,565
1305,567
1306,570
1308,572
1310,575
1312,577
1313,580
1315,582
1317,585
1319,587
1321,590
1322,593
1324,595
1326,598
1328,601
1329,603
1331,606
1333,609
1335,612
1337,614
1338,617
1340,620
1342,623
1343,626
1345,629
1347,631
1349,634
1350,637
1352,640
1354,643
1355,646
1357,649
1359,652
1360,655
1362,657
1364,660
1365,663
1367,666
1368,669
1370,672
1371,675
1373,678
1375,681
1376,684
1378,687
1379,690
1381,693
1382,696
1383,699
1385,702
1386,705
1388,708
1389,711
1390,714
1392,717
1393,721
1394,724
1395,727
1397,730
1398,733
1399,736
1400,739
1401,742
1403,745
1404,748
1405,751
1406,754
1407,757
1408,760
1409,763
1410,766
1411,769
1412,772
1413,775
1414,778
1414,781
1415,784
1416,786
1417,789
1417,792
1418,795
1419,798
1419,801
1420,804
1421,807
1421,810
1422,813
1422,816
1423,818
1423,821
1424,824
1424,827
1425,830
1425,833
1425,836
1426,838
1426,841
1426,844
1426,847
1427,850
1427,853
1427,855
1427,858
1427,861
1428,864
1428,867
1428,870
1428,872
1428,875
1428,878
1428,881
1428,884
1428,886
1428,889
1428,892
1428,895
1428,898
1428,900
1427,903
1427,906
1427,909
1427,912
1427,915
1426,917
1426,920
1426,923
1426,926
1425,929
1425,932
1425,934
1424,937
1424,940
1424,943
1423,946
1423,949
1423,951
1422,954
1422,957
1421,960
1421,963
1420,966
1420,969
1419,972
1419,975
1418,977
1418,980
1417,983
1417,986
1416,989
1416,992
1415,995
1414,998
1414,1001
1413,1004
1412,1007
1412,1010
1411,1013
1411,1016
1410,1019
1409,1022
1409,1025
1408,1028
1407,1031
1406,1034
1406,1037
1405,1040
1404,1043
1404,1046
1403,1049
1402,1052
1401,1055
1401,1059
1400,1062
1399,1065
1398,1068
1397,1071
1397,1074
1396,1078
1395,1081
1394,1084
1393,1087
1393,1090
1392,1094
1391,1097
1390,1100
1389,1103
1389,1107
1388,1110
1387,1113
1386,1116
1385,1120
1384,1123
1384,1126
1383,1129
1382,1132
1381,1135
1380,1139
1379,1142
1378,1145
1378,1148
1377,1151
1376,1154
1375,1157
1374,1160
1373,1163
1373,1166
1372,1169
1371,1172
1370,1175
1369,1178
1368,1181
1367,1183
1367,1186
1366,1189
1365,1192
1364,1194
1363,1197
1362,1199
1362,1202
1361,1205
1360,1207
1359,1209
1358,1212
1358,1214
1357,1216
1356,1219
1355,1221
1354,1223
1354,1225
1353,1227
1352,1229
1351,1231
1350,1232
1350,1234
1349,1236
1348,1238
1347,1239
1347,1241
1346,1242
1345,1244
1345,1245
1344,1246
1343,1247
1342,1248
1342,1249
1341,1250
1340,1251
1340,1252
1339,1253
1338,1253
1338,1254
1337,1254
1337,1255
1336,1255
1335,1255
1335,1255
1334,1255
1334,1255
1333,1255
1332,1255
1332,1255
1331,1254
1331,1254
1330,1253
1330,1252
1329,1252
1329,1251
1328,1250
1328,1249
1327,1248
1327,1247
1326,1246
1326,1245
1325,1243
1324,1242
1324,1241
1323,1239
1323,1238
1322,1237
1322,1235
1321,1233
1320,1232
1320,1230
1319,1229
1318,1227
1318,1225
1317,1223
1316,1222
1315,1220
1315,1218
1314,1216
1313,1215
1312,1213
1311,1211
1310,1209
1309,1207
1308,1205
1307,1204
1306,1202
1305,1200
1304,1198
1303,1196
1302,1195
1301,1193
1299,1191
1298,1190
1297,1188
1295,1186
